year,zip_code,pct_wht,pct_25_34,pct_college_deg,pct_chng_pct_25_34,pct_chng_pct_college_deg,pct_chng_pct_wht,num_coffee_shops,pct_chng_housing_price,current_year_housing_price,next_year_housing_price
2011,90001,73.73813002191379,17.35025566106647,2.173119065010957,0.0,0.0,0.0,0,2.5919341255731374,178116.66666666666,182733.33333333334
2011,90004,35.986673340424204,17.418507163861598,20.94099981230057,0.0,0.0,0.0,0,-5.366013737538328,736425.0,696908.3333333334
2011,90007,34.89412043061635,15.93753696912339,8.200638826452147,0.0,0.0,0.0,0,2.194291699397742,318250.0,325233.3333333333
2011,90010,22.081139671724987,17.095075874883868,40.941467946732736,0.0,0.0,0.0,0,0.0,0.0,0.0
2011,90012,26.035906887842174,17.755478189637522,15.164857669465492,0.0,0.0,0.0,1,-1.8447433100438966,301758.3333333333,296191.6666666667
2011,90013,37.07400194741968,13.838851022395325,23.064751703992208,0.0,0.0,0.0,0,0.0,0.0,0.0
2011,90014,37.31744811683321,17.50576479631053,19.42736356648732,0.0,0.0,0.0,0,0.0,0.0,0.0
2011,90015,32.65021996992816,17.792504315865678,11.549813443225483,0.0,0.0,0.0,0,0.9985640119297522,377208.3333333333,380975.0
2011,90016,20.77830641548079,15.214098269719017,9.370399607433168,0.0,0.0,0.0,0,-0.8872167785046401,296808.3333333333,294175.0
2011,90017,32.08338913441364,21.882951653944026,9.562073121735637,0.0,0.0,0.0,0,2.7036022427609514,325491.6666666667,334291.6666666667
2011,90018,15.527254625404465,16.48759644901684,8.213722724632872,0.0,0.0,0.0,0,-1.79766394938557,273966.6666666667,269041.6666666667
2011,90019,36.037812627163746,17.60259179265659,21.443328012019904,0.0,0.0,0.0,0,6.851637513652728,511191.6666666667,546216.6666666666
2011,90020,25.379347718987088,20.534042762833774,28.194896048871808,0.0,0.0,0.0,0,-4.0276282741298886,278700.0,267475.0
2011,90021,47.9446792162889,13.907030349596619,16.67306953515175,0.0,0.0,0.0,0,0.0,0.0,0.0
2011,90023,48.1389522659151,15.966536930165972,3.1024918355478013,0.0,0.0,0.0,0,9.816408995080815,189733.33333333334,208358.33333333334
2011,90024,61.549355615351935,14.360572156918284,31.753899690452585,0.0,0.0,0.0,0,-0.3648701262584178,749125.0,746391.6666666666
2011,90025,59.38855414624997,28.68965840620824,49.58619557827117,0.0,0.0,0.0,0,0.7610393298310512,586916.6666666666,591383.3333333334
2011,90026,54.00987837606349,20.21641066636213,22.27345400559584,0.0,0.0,0.0,0,1.7287518732605436,467100.0,475175.0
2011,90027,69.32140423380449,21.36466553823833,35.503726011738586,0.0,0.0,0.0,0,6.957482054113749,814950.0,871650.0
2011,90028,59.19661733615222,25.009112779762336,29.561857549026755,0.0,0.0,0.0,1,3.7405287363928057,503716.6666666667,522558.3333333333
2011,90029,40.5518242875295,18.961180406088733,16.233176879392165,0.0,0.0,0.0,0,-0.060391178991671186,427766.6666666667,427508.3333333333
2011,90031,37.887706008803356,14.157027331354284,7.871839492271472,0.0,0.0,0.0,0,4.920347463089713,271491.6666666667,284850.0
2011,90033,54.34401857358152,14.541159219583724,3.944849496965501,0.0,0.0,0.0,0,5.122153209109736,201250.0,211558.33333333334
2011,90034,54.23552680097885,28.619556836847572,37.96386309543763,0.0,0.0,0.0,0,-0.18274565486051467,633850.0,632691.6666666666
2011,90035,73.86390959365231,19.40370281317624,43.987222203139495,0.0,0.0,0.0,0,0.5442942942942994,754800.0,758908.3333333334
2011,90036,64.99833905436829,26.118370058686754,50.952275495515444,0.0,0.0,0.0,0,0.3198706141336047,927458.3333333334,930425.0
2011,90038,42.1830939733753,18.82418519247164,17.774936061381077,0.0,0.0,0.0,0,-2.5259488154662826,525875.0,512591.6666666667
2011,90039,60.75114482947168,17.24420750461349,31.44351035472627,0.0,0.0,0.0,0,2.1138518728538647,529050.0,540233.3333333334
2011,90041,53.45670028069446,12.385209827771424,24.701112381744466,0.0,0.0,0.0,0,4.63005493596928,453558.3333333333,474558.3333333333
2011,90042,61.888244197780026,16.749180121089807,16.832744702320884,0.0,0.0,0.0,0,1.3367398147725664,365316.6666666667,370200.0
2011,90045,59.90037359900373,15.063511830635116,33.27272727272727,0.0,0.0,0.0,0,0.5713294087808463,624275.0,627841.6666666666
2011,90046,82.58758026497604,25.093473136633342,47.140941233845396,0.0,0.0,0.0,0,4.837953662782912,746700.0,782825.0
2011,90047,14.532071503680337,13.251314405888538,9.33123028391167,0.0,0.0,0.0,0,2.098164106406886,244658.33333333334,249791.66666666666
2011,90048,85.75796665233386,23.209593426018824,52.959724810090286,0.0,0.0,0.0,0,9.975428138985173,891941.6666666666,980916.6666666666
2011,90049,84.92496776494471,19.373954075334012,56.83246001481442,0.0,0.0,0.0,0,8.098943923143034,1415616.6666666667,1530266.6666666667
2011,90057,31.765887509130753,20.913988312636963,10.08491599707816,0.0,0.0,0.0,0,2.46242404860889,234525.0,240300.0
2011,90064,70.92810049545507,17.54379120664768,43.834120079584906,0.0,0.0,0.0,0,1.7635274811925874,782050.0,795841.6666666666
2011,90065,47.741439672103155,14.687046366663822,18.764409529502174,0.0,0.0,0.0,0,2.7662849033599124,416925.0,428458.3333333333
2011,90066,62.63120441202633,20.188578544742924,35.639565913538526,0.0,0.0,0.0,0,3.532854415754038,663533.3333333334,686975.0
2011,90067,78.76823338735821,6.077795786061587,54.45705024311182,0.0,0.0,0.0,0,0.06675806163200729,699041.6666666666,699508.3333333334
2011,90068,79.53102322206095,18.831640058055147,52.10903483309144,0.0,0.0,0.0,0,2.1662423063814478,831316.6666666666,849325.0
