business_name,city,council_district,dba_name,location_1,location_account,location_description,location_start_date,mailing_address,mailing_city,mailing_zip_code,naics,primary_naics_description,street_address,zip_code
STARBUCKS CORPORATION,TARZANA,3,STARBUCKS COFFEE #9074,"{'latitude': '34.1706', 'longitude': '-118.5407'}",0002267130-0004-1,18700 VENTURA 91356-6352,2011-08-22T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722300,Special food services (including food service contractors & caterers),18700 VENTURA BLVD UNIT #120,91356-6352
STARBUCKS CORPORATION,MARINA DEL REY,11,STARBUCKS COFFEE #5275,"{'latitude': '33.9797', 'longitude': '-118.4656'}",0000364285-0001-1,100 WASHINGTON 90292-5126,1996-06-29T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,100 WASHINGTON BLVD,90292-5126
STARBUCKS CORPORATION,LOS ANGELES,11,STARBUCKS COFFEE #5244,"{'latitude': '33.9571', 'longitude': '-118.3962'}",0000317127-0001-0,8817 SEPULVEDA 90045-4809,1996-03-09T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,8817 S SEPULVEDA BLVD,90045-4809
STARBUCKS CORPORATION,HOLLYWOOD,13,STARBUCKS COFFEE #6467,"{'latitude': '34.1015', 'longitude': '-118.3401'}",0000552208-0001-5,6801 HOLLYWOOD 90028-6136,2001-11-08T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722410,Drinking places (alcoholic beverages),6801 HOLLYWOOD BLVD #D2256,90028-6136
STARBUCKS CORPORATION,VAN NUYS,6,STARBUCKS COFFEE #19305,"{'latitude': '34.2212', 'longitude': '-118.5014'}",0000008207-0012-1,16926 ROSCOE 91406-1101,2013-05-16T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,16926 ROSCOE BLVD,91406-1101
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS CORPORATION #11991,"{'latitude': '34.1285', 'longitude': '-118.3462'}",0000111880-0010-1,3242 CAHUENGA 90068-1822,2007-12-14T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,3242 CAHUENGA BLVD E,90068-1822
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #9230,"{'latitude': '34.0556', 'longitude': '-118.2454'}",0000855742-0001-1,217 HILL 90012-2705,1991-11-11T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",217 N HILL STREET,90012-2705
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE #5487,"{'latitude': '34.1712', 'longitude': '-118.5702'}",0000649039-0001-4,20054 VENTURA 91364-2637,1997-12-06T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,20054 VENTURA BLVD,91364-2637
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE #21086,"{'latitude': '34.1664', 'longitude': '-118.5883'}",0000008207-0019-8,20903 VENTURA 91364-2331,2014-03-05T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",20903 VENTURA BLVD,91364-2331
STARBUCKS CORPORATION,CHATSWORTH,12,STARBUCKS COFFEE #49449,"{'latitude': '34.2492', 'longitude': '-118.5799'}",0002363980-0021-1,9857 MASON 91311-5212,2019-04-25T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9857   MASON AVENUE,91311-5212
STARBUCKS CORPORATION,LOS ANGELES,11,STARBUCKS COFFEE #659,"{'latitude': '34.0646', 'longitude': '-118.4694'}",0000225200-0001-5,11700 BARRINGTON 90049-2930,1995-07-29T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,11700 BARRINGTON COURT,90049-2930
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #5793,"{'latitude': '34.1259', 'longitude': '-118.2639'}",0000679696-0001-1,2919 LOS FELIZ 90039-1544,2003-01-04T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,2919 LOS FELIZ BLVD #6,90039-1544
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #5291,"{'latitude': '34.0522', 'longitude': '-118.2554'}",0000386620-0001-6,444 FLOWER 90071-2900,1996-07-15T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,444 S FLOWER STREET #170,90071-2900
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #51056,"{'latitude': '34.0557', 'longitude': '-118.2046'}",0002363980-0011-4,1106 CORNWELL 90033-1415,2017-08-31T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1106   CORNWELL STREET,90033-1415
STARBUCKS CORPORATION,LOS ANGELES,1,STARBUCKS COFFEE COMPANY # 55230,"{'latitude': '34.0865', 'longitude': '-118.2195'}",0000037459-0012-6,3241 FIGUEROA 90065-1525,2018-08-23T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3241 N FIGUEROA STREET,90065-1525
STARBUCKS CORPORATION,STUDIO CITY,2,STARBUCKS COFFEE #5734,"{'latitude': '34.1401', 'longitude': '-118.3694'}",0000995107-0001-1,10965 VENTURA 91604-3341,2000-02-05T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,10965 VENTURA BLVD,91604-3341
STARBUCKS CORPORATION,GRANADA HILLS,12,STARBUCKS COFFEE #5643,"{'latitude': '34.2649', 'longitude': '-118.5234'}",0000947624-0001-9,17901 CHATSWORTH 91344-5606,1999-02-06T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,17901 CHATSWORTH STREET,91344-5606
STARBUCKS CORPORATION,SUNLAND,7,STARBUCKS COFFEE #6915,"{'latitude': '34.2596', 'longitude': '-118.3149'}",0000871387-0001-0,8349 FOOTHILL 91040-2809,2003-06-27T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,8349 FOOTHILL BLVD,91040-2809
STARBUCKS CORPORATION,LOS ANGELES,8,STARBUCKS COFFEE #5995,"{'latitude': '33.9891', 'longitude': '-118.3117'}",0000554785-0009-1,1850 SLAUSON 90047-1126,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,1850 W SLAUSON AVENUE,90047-1126
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE # 11603,"{'latitude': '34.1569', 'longitude': '-118.6058'}",0002363980-0001-7,4900 TOPANGA CANYON 91364-3112,2008-09-26T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,522200,Nondepository credit intermediation (including sales financing & consumer lending),4900 TOPANGA CANYON BLVD,91364-3112
STARBUCKS CORPORATION,NORTHRIDGE,12,STARBUCKS COFFEE #6459,"{'latitude': '34.2413', 'longitude': '-118.536'}",0000531468-0001-3,9420 RESEDA 91324-6001,2001-09-15T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,9420 RESEDA BLVD #1,91324-6001
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE 6608,"{'latitude': '34.04', 'longitude': '-118.2532'}",0000587235-0001-8,300 9TH 90015-1802,2002-04-13T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,300 E 9TH STREET,90015-1802
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #5256,"{'latitude': '34.0529', 'longitude': '-118.2564'}",0000354687-0001-6,445 FIGUEROA 90071-1600,1996-04-20T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,445 S FIGUEROA STREET #205,90071-1600
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #5877,"{'latitude': '34.1017', 'longitude': '-118.3083'}",0000646821-0001-8,5453 HOLLYWOOD 90027-3467,2002-06-26T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,5453 HOLLYWOOD BLVD #D,90027-3467
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #15177,"{'latitude': '34.1015', 'longitude': '-118.3414'}",0000554785-0015-6,6933 HOLLYWOOD 90028-6149,2011-03-11T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,6933 HOLLYWOOD BLVD UNIT #A,90028-6149
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #5620,"{'latitude': '34.1051', 'longitude': '-118.3374'}",0000489316-0001-2,1900 HIGHLAND 90068-2997,1999-04-17T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,1900 N HIGHLAND AVENUE,90068-2997
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #5577,"{'latitude': '34.0581', 'longitude': '-118.3634'}",0000859652-0001-6,6066 OLYMPIC 90036-4402,1998-07-18T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722410,Drinking places (alcoholic beverages),6066 W OLYMPIC BLVD,90036-4402
STARBUCKS CORPORATION,NORTH HOLLYWOOD,4,STARBUCKS COFFEE #9596,"{'latitude': '34.1576', 'longitude': '-118.3779'}",0002234609-0001-7,11339 CAMARILLO 91602-1216,2007-03-16T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11339 CAMARILLO STREET,91602-1216
STARBUCKS CORPORATION,VAN NUYS,4,STARBUCKS COFFEE #6630,"{'latitude': '34.1721', 'longitude': '-118.4474'}",0000111880-0013-6,14431 BURBANK 91401-4825,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,14431 BURBANK BLVD,91401-4825
STARBUCKS CORPORATION,WEST HILLS,12,STARBUCKS COFFEE #563,"{'latitude': '34.1884', 'longitude': '-118.6427'}",0000845625-0001-3,6516 PLATT 91307-3218,1993-10-23T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,6516 PLATT AVENUE,91307-3218
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE 6557,"{'latitude': '34.0477', 'longitude': '-118.2393'}",0000552209-0001-0,401 2ND 90012-4204,2001-11-08T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722410,Drinking places (alcoholic beverages),401 E 2ND STREET #E,90012-4204
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #17848,"{'latitude': '34.0617', 'longitude': '-118.2989'}",0000111880-0018-7,3450 WILSHIRE 90010-2208,2012-09-28T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,3450 WILSHIRE BLVD,90010-2208
STARBUCKS CORPORATION,HOLLYWOOD,13,STARBUCK'S COFFEE #5775,"{'latitude': '34.1015', 'longitude': '-118.3374'}",0000991179-0001-7,6743 HOLLYWOOD 90028-4604,2000-09-02T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,6743 HOLLYWOOD BLVD,90028-4604
STARBUCKS CORPORATION,RESEDA,3,STARBUCKS COFFEE #6745,"{'latitude': '34.1945', 'longitude': '-118.536'}",0000008207-0004-0,6840 RESEDA 91335-4204,2002-10-19T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,6840 RESEDA BLVD,91335-4204
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #5565,"{'latitude': '34.0435', 'longitude': '-118.4314'}",0000864309-0001-5,2215 WESTWOOD 90064-2098,1998-06-27T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,2215 WESTWOOD BLVD,90064-2098
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #9234,"{'latitude': '34.0498', 'longitude': '-118.2533'}",0000194222-0001-3,555 5TH 90013-1010,1995-02-21T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,555 W 5TH STREET,90013-1010
STARBUCKS COFFEE COMPANY # 5549,LOS ANGELES,5,STARBUCKS COFFEE #5549,"{'latitude': '34.1275', 'longitude': '-118.4445'}",0000826573-0001-9,2950 BEVERLY GLEN 90077-1724,1998-05-02T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,2950 N BEVERLY GLEN CIRCLE,90077-1724
STARBUCKS CORPORATION,CHATSWORTH,12,STARBUCKS 5318,"{'latitude': '34.2505', 'longitude': '-118.6061'}",0000501929-0001-5,9935 TOPANGA CANYON 91311-3602,1996-11-16T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,9935 TOPANGA CANYON BLVD,91311-3602
STARBUCKS CORPORATION,ENCINO,5,STARBUCKS COFFEE CO #544,"{'latitude': '34.1608', 'longitude': '-118.51'}",0000066930-0001-5,17308 VENTURA 91316-3904,1993-04-13T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,17308 VENTURA BLVD,91316-3904
STARBUCKS CORPORATION,TORRANCE,15,STARBUCKS COFFEE #5651,"{'latitude': '33.8583', 'longitude': '-118.3021'}",0000969609-0001-1,1400 190TH 90501-1136,1999-07-17T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,1400 W 190TH STREET #F,90501-1136
STARBUCKS CORPORATION,NORTHRIDGE,12,STARBUCKS CORPORATION #17853,"{'latitude': '34.2391', 'longitude': '-118.5535'}",0000111880-0017-9,9301 TAMPA 91324-2503,2012-09-28T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,9301 TAMPA AVENUE,91324-2503
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE #14629,"{'latitude': '34.098', 'longitude': '-118.3644'}",0000174102-0002-3,8000 SUNSET 90046-2442,2008-12-05T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,8000 W SUNSET BLVD UNIT #B-110,90046-2442
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE 8617,"{'latitude': '34.1392', 'longitude': '-118.2147'}",0000330070-0001-0,2216 COLORADO 90041-1143,2004-10-26T00:00:00.000,POST OFFICE BOX #34447,SEATTLE,98124-1447,,,2216 COLORADO BLVD,90041-1143
STARBUCKS CORP,LOS ANGELES,13,STARBUCKS COFFEE #5379,"{'latitude': '34.098', 'longitude': '-118.311'}",0000861981-0001-5,5545 SUNSET 90028-8521,1998-03-07T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,5545 W SUNSET BLVD #106,90028-8521
STARBUCKS CORPORATION,SHERMAN OAKS,4,STARBUCKS COFFEE #5815,"{'latitude': '34.1537', 'longitude': '-118.4656'}",0000259392-0001-3,15301 VENTURA 91403-3102,2000-01-27T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,15301 VENTURA BLVD,91403-3102
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #14412,"{'latitude': '34.0271', 'longitude': '-118.372'}",0000554785-0006-7,3344 LA CIENEGA 90016-3115,2008-10-07T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,3344 S LA CIENEGA BLVD,90016-3115
STARBUCKS CORPORATION,SAN PEDRO,15,STARBUCKS COFFEE 6431,"{'latitude': '33.7637', 'longitude': '-118.3113'}",0000603837-0001-1,28190 WESTERN 90732-1248,2002-01-12T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,28190 S WESTERN AVENUE,90732-1248
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #5626,"{'latitude': '34.0546', 'longitude': '-118.3833'}",0000956040-0001-8,8783 PICO 90035-2212,1999-02-27T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,8783 W PICO BLVD,90035-2212
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #9232,"{'latitude': '34.0609', 'longitude': '-118.4141'}",0000239843-0001-8,1875 CENTURY 90067-2501,1994-02-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,1875 CENTURY PARKS  E,90067-2501
STARBUCKS CORPORATION,LOS ANGELES,9,STARBUCKS COFFEE #17413,"{'latitude': '34.0191', 'longitude': '-118.2817'}",0000111880-0015-2,3584 FIGUEROA 90007-4313,2012-08-09T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,3584 S FIGUEROA STREET UNIT #3,90007-4313
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #13397,"{'latitude': '34.0391', 'longitude': '-118.2607'}",0002249327-0001-3,1149 HILL 90015-2212,2007-06-01T00:00:00.000,,,,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1149 S HILL STREET    #H120,90015-2212
STARBUCKS CORPORATION,WOODLAND HILLS,3,STARBUCKS COFFEE # 5485,"{'latitude': '34.188', 'longitude': '-118.5997'}",0000666105-0001-4,21504 VICTORY 91367-2423,1997-11-15T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,21504 VICTORY BLVD,91367-2423
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE #22601,"{'latitude': '34.0863', 'longitude': '-118.3385'}",0000008207-0028-7,859 HIGHLAND 90038-3416,2015-03-26T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",859 N HIGHLAND AVENUE,90038-3416
STARBUCKS CORPORATION,VAN NUYS,6,STARBUCKS COFFEE #9683,"{'latitude': '34.2146', 'longitude': '-118.4487'}",0000554785-0013-0,7902 VAN NUYS 91402-6084,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,7902 VAN NUYS BLVD UNIT #B-2,91402-6084
STARBUCKS CORPORATION,LOS ANGELES,11,STARBUCKS COFFEE COMPANY # 25813,"{'latitude': '33.9612', 'longitude': '-118.4204'}",0000008207-0034-1,8400 LINCOLN 90045-2416,2015-09-15T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,8400 LINCOLN BLVD,90045-2416
STARBUCKS CORPORATION,VAN NUYS,6,STARBUCKS COFFEE #23369,"{'latitude': '34.1947', 'longitude': '-118.4488'}",0000008207-0023-6,6833 VAN NUYS 91405-4626,2014-09-23T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6833 VAN NUYS BLVD,91405-4626
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #9973,"{'latitude': '34.0512', 'longitude': '-118.2425'}",0002067515-0001-4,120 LOS ANGELES 90012-3724,2005-09-30T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",120 S LOS ANGELES STREET SUITE #110,90012-3724
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE CO #10940,"{'latitude': '34.1163', 'longitude': '-118.2627'}",0002267130-0001-7,3111 GLENDALE 90039-1841,2007-05-07T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3111 GLENDALE BLVD SUITE #A,90039-1841
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE #12900,"{'latitude': '34.0625', 'longitude': '-118.3545'}",0000111880-0011-0,5757 WILSHIRE 90036-3684,2010-12-10T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5757 WILSHIRE BLVD UNIT #106,90036-3684
STARBUCKS CORPORATION,CANOGA PARK,3,STARBUCKS COFFEE COMPANY #20895,"{'latitude': '34.1864', 'longitude': '-118.6236'}",0000008207-0001-5,22815 VICTORY 91307-3953,2000-04-08T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,22815 VICTORY BLVD #A,91307-3953
STARBUCKS CORPORATION,LOS ANGELES,11,STARBUCKS COFFEE #508,"{'latitude': '34.0536', 'longitude': '-118.4661'}",0000845628-0001-7,11707 SAN VICENTE 90049-6628,1993-08-14T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,11707 SAN VICENTE BLVD,90049-6628
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #55102,"{'latitude': '34.0451', 'longitude': '-118.2574'}",0002363980-0013-1,801 OLIVE 90014-3010,2018-09-06T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,801 S OLIVE STREET,90014-3010
STARBUCKS CORPORATION,CANOGA PARK,3,STARBUCKS COFFEE #6473,"{'latitude': '34.202', 'longitude': '-118.5977'}",0002111694-0001-7,7258 CANOGA 91303-1627,2006-06-30T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,722211,Limited-service eating places,7258 CANOGA AVENUE,91303-1627
STARBUCKS CORPORATION,SUN VALLEY,2,STARBUCKS COFFEE COMPANY # 27293,"{'latitude': '34.221', 'longitude': '-118.3671'}",0002363980-0010-6,8274 SUNLAND 91352-3301,2017-08-24T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8274   SUNLAND BLVD,91352-3301
STARBUCKS CORPORATION,LOS ANGELES,11,STARBUCKS COFFEE #5337,"{'latitude': '34.0384', 'longitude': '-118.4407'}",0000373841-0001-6,11280 OLYMPIC 90064-1719,1997-04-17T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,11280 W OLYMPIC BLVD,90064-1719
STARBUCKS CORP,LOS ANGELES,11,STARBUCKS COFFEE #659,"{'latitude': '34.0535', 'longitude': '-118.4655'}",0000999236-0001-5,11700 SAN VICENTE 90049-5006,,,,,722110,Full-service restaurants,11700 SAN VICENTE BLVD,90049-5006
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #5250,"{'latitude': '34.0282', 'longitude': '-118.3904'}",0000477370-0001-6,8985 VENICE 90034-3344,1997-06-19T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,8985 VENICE BLVD #CB 2,90034-3344
STARBUCKS CORPORATION,LOS ANGELES,8,STARBUCKS COFFEE COMPANY # 49792,"{'latitude': '34.0258', 'longitude': '-118.3085'}",0002363980-0006-8,1789 JEFFERSON 90018-3913,2017-07-20T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1789 W JEFFERSON BLVD,90018-3913
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #26527,"{'latitude': '34.0272', 'longitude': '-118.4285'}",0000008207-0035-0,3006 SEPULVEDA 90034-4202,2015-09-24T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,3006 S SEPULVEDA BLVD,90034-4202
STARBUCKS CORPORATION,SHERMAN OAKS,4,STARBUCKS COFFEE #548,"{'latitude': '34.1514', 'longitude': '-118.4519'}",0000845627-0001-2,14622 VENTURA 91403-3662,1993-06-05T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,14622 VENTURA BLVD #116,91403-3662
STARBUCKS CORPORATION,CHATSWORTH,12,STARBUCKS COFFEE #5341,"{'latitude': '34.2572', 'longitude': '-118.5805'}",0000448820-0001-7,20516 DEVONSHIRE 91311-3207,1997-04-02T00:00:00.000,POST OFFICE BOX #34067,SEATTLE,98124-1067,445290,Home furnishings stores,20516 DEVONSHIRE STREET # B,91311-3207
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #5373,"{'latitude': '34.0761', 'longitude': '-118.3447'}",0000373842-0001-1,7122 BEVERLY 90036-2569,1997-04-17T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,7122 BEVERLY BLVD,90036-2569
STARBUCKS,LOS ANGELES,1,,"{'latitude': '34.0604', 'longitude': '-118.244'}",0000438009-0001-9,515 GRAND 90012,,,,,722110,Full-service restaurants,515 N GRAND AVENUE #528,90012-2149
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE #5488,"{'latitude': '34.0621', 'longitude': '-118.3393'}",0000739257-0001-8,5020 WILSHIRE 90036-4315,1998-01-30T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,5020 WILSHIRE BLVD,90036-4315
STARBUCKS COFFEE COMPANY #5394,LOS ANGELES,11,STARBUCKS COFFEE CO,"{'latitude': '34.0226', 'longitude': '-118.4388'}",0000401688-0001-2,11705 NATIONAL 90064-3644,,POST OFFICE BOX #34067,SEATTLE,98124-1067,722110,Full-service restaurants,11705 NATIONAL BLVD,90064-3644
STARBUCKS CORPORATION,VAN NUYS,4,STARBUCKS COFFEE #5777,"{'latitude': '34.1475', 'longitude': '-118.4283'}",0000147995-0001-0,13535 VENTURA 91423-3876,2000-04-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,13535 VENTURA BLVD,91423-3876
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #5567,"{'latitude': '34.0481', 'longitude': '-118.4354'}",0000840830-0001-4,1898 WESTWOOD 90025-4612,1998-05-08T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,1898 WESTWOOD BLVD,90025-4612
STARBUCKS CORPORATION,ENCINO,5,STARBUCKS COFFEE COMPANY # 50834,"{'latitude': '34.1651', 'longitude': '-118.5253'}",0002363980-0019-0,18025 VENTURA 91316-3517,2019-02-21T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",18025   VENTURA BLVD,91316-3517
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #5698,"{'latitude': '34.0515', 'longitude': '-118.3439'}",0000554785-0008-3,1250 LA BREA 90019-1628,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722211,Limited-service eating places,1250 S LA BREA AVENUE,90019-1628
STARBUCKS,LOS ANGELES,13,,"{'latitude': '34.1026', 'longitude': '-118.3395'}",0003120968-0001-2,6801 HOLLYWOOD 90028-6163,2018-01-01T00:00:00.000,,,,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6801   HOLLYWOOD BLVD   #257,90028-6163
