business_name,city,council_district,dba_name,location_1,location_account,location_description,location_start_date,mailing_address,mailing_city,mailing_zip_code,naics,primary_naics_description,street_address,zip_code
STARBUCKS CORPORATION,NORTH HILLS,12,STARBUCKS COFFEE #6782,"{'latitude': '34.2356', 'longitude': '-118.4855'}",0000708421-0001-0,16222 NORDHOFF 91343-3806,2003-01-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,16222 NORDHOFF STREET,91343-3806
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #13222,"{'latitude': '34.045', 'longitude': '-118.2639'}",0000845629-0002-0,800 OLYMPIC 90015-1361,2008-12-03T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,800 W OLYMPIC BLVD UNIT #102,90015-1361
STARBUCKS CORPORATION,SAN PEDRO,15,STARBUCKS COFFEE #11868,"{'latitude': '33.7402', 'longitude': '-118.2923'}",0000111880-0009-8,438 GAFFEY 90731-2436,2007-10-10T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,438 S GAFFEY STREET,90731-2436
STARBUCKS CORPORATION,LOS ANGELES,13,STARBUCKS COFFEE #5461,"{'latitude': '34.098', 'longitude': '-118.3223'}",0000666146-0001-3,6102 SUNSET 90028-6424,1997-11-22T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,6102 W SUNSET BLVD #6102,90028-6424
STARBUCKS CORPORATION,VAN NUYS,2,STARBUCKS COFFEE COMPANY # 51180,"{'latitude': '34.2017', 'longitude': '-118.4304'}",0000364285-0002-9,13641 SHERMAN 91405-2845,2017-11-02T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13641   SHERMAN WAY,91405-2845
STARBUCKS CORPORATION,LOS ANGELES,4,STARBUCKS COFFEE #9998,"{'latitude': '34.0623', 'longitude': '-118.3451'}",0000111880-0004-7,5353 WILSHIRE 90036-4284,2006-04-21T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,5353 WILSHIRE BLVD,90036-4284
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE CO #536,"{'latitude': '34.0589', 'longitude': '-118.444'}",0000845629-0001-1,1161 WESTWOOD 90024-3419,1993-01-23T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,1161 WESTWOOD BLVD,90024-3419
STARBUCKS CORPORATION,TARZANA,3,STARBUCKS COFFEE #5959,"{'latitude': '34.1865', 'longitude': '-118.5539'}",0000584427-0001-8,19313 VICTORY 91335-6302,2002-02-02T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,19313 VICTORY BLVD #1,91335-6302
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #22525,"{'latitude': '34.0617', 'longitude': '-118.2905'}",0000008207-0020-1,3150 WILSHIRE 90010-1204,2014-05-05T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3150 WILSHIRE BLVD,90010-1204
STARBUCKS CORPORATION,VALLEY VILLAGE,2,STARBUCKS COFFEE #20895,"{'latitude': '34.1721', 'longitude': '-118.3966'}",0000008207-0030-9,12106 BURBANK 91607-1709,2015-03-15T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12106 BURBANK BLVD,91607-1709
