,zip_code,dba_name,ownership_name,city,street_address,location,location_start_date,location_end_date
66,94107,Starbucks Coffee #5516,Starbucks Corporation,San Francisco,490 Brannan St,"{'type': 'Point', 'coordinates': [-122.39628, 37.778525]}",1998-05-18T00:00:00.000,0
67,94102,Starbucks Coffee #5464,Starbucks Corporation,San Francisco,790 Market St,"{'type': 'Point', 'coordinates': [-122.405765, 37.785814]}",1998-05-02T00:00:00.000,0
68,94110,Starbucks Coffee #6605,Starbucks Corporation,San Francisco,2727 Mariposa St,"{'type': 'Point', 'coordinates': [-122.410575, 37.763027]}",2001-10-28T00:00:00.000,0
69,94121,Starbucks Coffee #5510,Starbucks Corporation,San Francisco,5455 Geary Blvd,"{'type': 'Point', 'coordinates': [-122.477824, 37.780336]}",1997-12-15T00:00:00.000,0
70,94117,Starbucks Coffee #5395,Starbucks Corporation,San Francisco,1799 Fulton St,"{'type': 'Point', 'coordinates': [-122.446485, 37.77582]}",1997-07-26T00:00:00.000,0
71,94102,Starbucks Coffee #5405,Starbucks Corporation,San Francisco,140 Van Ness Ave,"{'type': 'Point', 'coordinates': [-122.419559, 37.776977]}",1997-07-19T00:00:00.000,0
72,94102,Starbucks Coffee #5404,Starbucks Corporation,San Francisco,442 Geary St,"{'type': 'Point', 'coordinates': [-122.410587, 37.787059]}",1997-07-05T00:00:00.000,0
73,94105,Starbucks Coffee #5431,Starbucks Corporation,San Francisco,123 Mission St,"{'type': 'Point', 'coordinates': [-122.39462, 37.792099]}",1997-06-28T00:00:00.000,2017-11-20T00:00:00.000
74,94107,Starbucks Coffee Company,Starbucks Corporation,San Francisco,444 De Haro St Ste 218,"{'type': 'Point', 'coordinates': [-122.401555, 37.764194]}",2001-01-01T00:00:00.000,0
75,94127,Starbucks Coffee #5271,Starbucks Corporation,San Francisco,100 West Portal Ave,"{'type': 'Point', 'coordinates': [-122.467042, 37.739756]}",1996-07-28T00:00:00.000,0
76,94103,Starbucks Coffee #5237,Starbucks Corporation,San Francisco,1231 Market St,"{'type': 'Point', 'coordinates': [-122.415275, 37.778313]}",1997-01-01T00:00:00.000,0
77,94103,Starbucks Coffee,Starbucks Corporation,San Francisco,01 120  4th St,"{'type': 'Point', 'coordinates': [-122.405883, 37.785718]}",2002-01-01T00:00:00.000,2017-05-04T00:00:00.000
78,94114,Starbucks Coffee,Starbucks Corporation,San Francisco,2020 Market St,"{'type': 'Point', 'coordinates': [-122.427535, 37.768701]}",1997-11-11T00:00:00.000,2018-02-18T00:00:00.000
79,94105,Starbucks Coffee,Starbucks Corporation,San Francisco,340 Mission St,"{'type': 'Point', 'coordinates': [-122.395943, 37.791056]}",1997-04-15T00:00:00.000,2012-07-25T00:00:00.000
80,94111,Starbucks Coffee,Starbucks Corporation,San Francisco,505 Sansome St,"{'type': 'Point', 'coordinates': [-122.401564, 37.795122]}",1996-12-14T00:00:00.000,2015-02-13T00:00:00.000
81,94115,Starbucks Coffee,Starbucks Corporation,San Francisco,1750 Divisadero St,"{'type': 'Point', 'coordinates': [-122.439978, 37.785934]}",1996-10-26T00:00:00.000,0
82,94118,Starbucks Coffee,Starbucks Corporation,San Francisco,3595 California St,"{'type': 'Point', 'coordinates': [-122.453255, 37.786403]}",1992-03-03T00:00:00.000,0
83,94111,Starbucks Coffee,Starbucks Corporation,San Francisco,99 Jackson St,"{'type': 'Point', 'coordinates': [-122.397775, 37.79717]}",1992-03-03T00:00:00.000,0
84,94103,Starbucks Coffee,Starbucks Corporation,San Francisco,120 4th St,"{'type': 'Point', 'coordinates': [-122.40419, 37.784435]}",1995-08-10T00:00:00.000,0
85,94105,Starbucks Coffee,Starbucks Corporation,San Francisco,201 Spear St,"{'type': 'Point', 'coordinates': [-122.392069, 37.790953]}",1995-06-24T00:00:00.000,0
86,94108,Starbucks Coffee,Starbucks Corporation,San Francisco,264 Kearny St,"{'type': 'Point', 'coordinates': [-122.404003, 37.790549]}",1995-03-04T00:00:00.000,0
87,94122,Starbucks Coffee,Starbucks Corporation,San Francisco,744 Irving St,"{'type': 'Point', 'coordinates': [-122.465451, 37.76408]}",1995-02-11T00:00:00.000,0
88,94105,Starbucks Coffee,Starbucks Corporation,San Francisco,74 New Montgomery St,"{'type': 'Point', 'coordinates': [-122.400989, 37.787866]}",1992-03-03T00:00:00.000,0
89,94114,Starbucks Coffee,Starbucks Corporation,San Francisco,3995 24th St,"{'type': 'Point', 'coordinates': [-122.431781, 37.75144]}",1993-06-25T00:00:00.000,0
90,94104,Starbucks Coffee,Starbucks Corporation,San Francisco,369 Pine St,"{'type': 'Point', 'coordinates': [-122.402015, 37.79197]}",1992-03-03T00:00:00.000,2003-12-02T00:00:00.000
91,94109,Starbucks Coffee,Starbucks Corporation,San Francisco,2163 Polk St,"{'type': 'Point', 'coordinates': [-122.421931, 37.796646]}",1992-03-03T00:00:00.000,0
92,94115,Starbucks Coffee,Starbucks Corporation,San Francisco,2222 Fillmore St,"{'type': 'Point', 'coordinates': [-122.434077, 37.790037]}",1992-03-03T00:00:00.000,0
93,94123,Starbucks Coffee,Starbucks Corporation,San Francisco,2132 Chestnut St,"{'type': 'Point', 'coordinates': [-122.438576, 37.800517]}",1992-03-03T00:00:00.000,0
94,94123,Starbucks Coffee,Starbucks Corporation,San Francisco,1899 Union St,"{'type': 'Point', 'coordinates': [-122.430569, 37.797727]}",1992-03-03T00:00:00.000,0
95,94111,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,Ferry Bldg The Embarcadero C3,0,2003-03-07T00:00:00.000,0
96,94109,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2139 Polk St #C,"{'type': 'Point', 'coordinates': [-122.42191, 37.79654]}",1993-08-18T00:00:00.000,0
97,94103,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,2300 16th St Ste 240,"{'type': 'Point', 'coordinates': [-122.410113, 37.765632]}",1996-08-16T00:00:00.000,0
98,94104,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,217 Montgomery St,"{'type': 'Point', 'coordinates': [-122.40246, 37.791275]}",1997-08-01T00:00:00.000,2017-06-16T00:00:00.000
99,94105,Peet's Coffee And Tea Inc,Peet's Coffee & Tea Inc,San Francisco,101 2nd St,"{'type': 'Point', 'coordinates': [-122.399452, 37.787733]}",2000-10-29T00:00:00.000,2018-05-20T00:00:00.000
100,94111,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,2 Embarcadero Ctr #R2113,0,2005-05-23T00:00:00.000,0
101,94102,Peet's Coffee & Tea,Peet's Coffee & Tea Inc,San Francisco,601 Van Ness Ave,"{'type': 'Point', 'coordinates': [-122.420616, 37.781471]}",2005-12-12T00:00:00.000,0
