zip_code,total_pop,total_24_29_female,total_30_34_female,total_24_29_male,total_30_34_male,total_24_29_female_wht,total_30_34_female_wht,total_24_29_male_wht,total_30_34_male_wht,total_wht,with_bachelors,with_advanced_deg,pct_25_34,pct_college_deg,pct_wht
90001,58738,2402,2115,2445,2259,770,677,636,849,19012,1234,205,15.453369198815079,2.449862099492662,32.367462290169904
90004,62733,3108,2971,3326,3863,982,1186,1417,1519,23687,10943,4506,19.728053815376278,24.62659206478249,37.75843654854702
90007,41221,2053,1035,2523,1470,488,189,694,444,12299,3369,1587,16.122850003638924,12.02299798646321,29.83673370369472
90010,3759,195,218,307,151,57,3,114,48,867,1181,401,24.953445065176908,42.08566108007449,23.06464485235435
90012,33783,1974,852,3326,2889,617,205,1215,1104,9657,5134,2763,20.732320989846965,23.375662315365716,28.585383180889796
90013,11957,717,673,872,842,366,289,388,325,4267,2968,1190,24.546290875637702,34.77460901563937,35.68620891527976
90014,7408,530,352,623,817,336,238,471,507,3800,2353,825,25.067494600431967,42.899568034557234,51.295896328293736
90015,20187,1123,1236,1012,980,541,445,425,315,6746,2842,1470,22.821617872888492,21.360281369198,33.41754594541042
90016,46303,1780,1673,2480,1498,792,760,1085,606,18165,4317,2414,16.426581431008792,14.536855063386822,39.23071939183206
90017,26390,1411,1101,1900,1719,492,302,659,807,9771,3302,1743,20.890488821523302,19.11708980674498,37.02538840469875
90018,52287,2013,2053,2002,1725,417,405,447,312,10138,4143,1639,15.531585288886337,11.058198022453,19.389140704190332
90019,67415,2908,2619,3293,2955,917,985,1363,1274,22307,10633,5209,16.968033820366387,23.49922124156345,33.08907513164726
90020,39191,2399,1990,2221,2388,711,494,770,955,10023,9193,2498,21.943813630680513,29.830828506544872,25.5747493046873
90021,3158,105,114,99,268,36,63,68,105,1182,463,149,13.679544015199493,19.379354021532617,37.42875237492084
90023,47229,1562,1594,1556,1677,1118,1085,1041,1142,31978,1331,495,13.351965953122022,3.866268606152999,67.70839950030701
90024,49718,1499,1253,2157,1630,799,856,1342,824,29866,7506,8562,12.393901605052497,32.31827507140272,60.07079930809767
90025,47453,3857,3200,4214,3385,2349,1579,2641,1962,29585,14156,10361,30.495437590879398,51.66585884980929,62.34590015383643
90026,68609,3824,3765,4482,4163,2008,2253,2771,2556,35056,13777,5757,23.081519917212027,28.471483333090408,51.09533734641227
90027,45616,3305,2799,2891,2871,2322,1917,2106,2044,30666,13037,6826,25.854963170817257,43.54393195370045,67.22641178533848
90028,31054,2375,1660,2941,2569,1250,992,1934,1443,17480,8710,2924,27.809621948863274,37.46377278289431,56.289044889547235
90029,38843,2169,1723,2416,2211,1026,794,1166,1120,14832,6191,1827,20.675539994336173,20.642071930592383,38.18448626522154
90031,39103,1484,1234,1882,1542,646,404,740,709,14204,3389,1552,14.919571388384522,12.635859141242358,36.32457867682786
90033,48841,1878,1784,2099,1480,1144,1251,1512,1096,34717,2171,705,15.448086648512522,5.888495321553613,71.08167318441473
90034,56070,4626,3387,4413,4028,2814,1678,2768,2452,32939,13592,9749,28.20224719101124,41.62832174068129,58.7462100945247
90035,29920,1482,1615,1297,1783,965,1086,932,1407,22383,7613,5463,20.08355614973262,43.70320855614973,74.80949197860963
90036,38116,3353,2517,2256,2394,2267,1833,1594,1693,24964,12593,7142,27.922657151852242,51.776156994438026,65.49480533109455
90038,27957,1553,1339,1878,1809,915,496,738,906,11555,4818,1317,21.85141467253282,21.9444146367636,41.33133025718067
90039,29092,1605,1433,1303,1718,983,874,792,1119,17255,7229,3733,19.84738072322288,37.68046198267565,59.31183830606352
90041,28651,900,1024,907,1036,378,473,410,543,14047,6256,2842,13.455027747722593,31.7545635405396,49.02795713936686
90042,63788,3339,3108,2877,2974,1418,1582,1318,1598,29633,8014,4356,19.489559164733176,19.392362199786795,46.45544616542296
90045,41420,1387,1709,2307,1698,696,646,1164,731,24693,10005,5760,17.17044905842588,38.06132303235152,59.61612747464993
90046,51615,4348,2862,3658,4052,3339,2185,2892,3189,40771,19841,7759,26.600794342729827,53.472827666376055,78.99060350673254
90047,48491,1542,1659,1667,1382,240,246,357,294,7931,3188,1611,13.46022973335258,9.896681858489204,16.355612381679073
