with_advanced_deg,zip_code,total_pop,total_24_29_female,total_30_34_female,total_24_29_male,total_30_34_male,total_24_29_female_wht,total_30_34_female_wht,total_24_29_male_wht,total_30_34_male_wht,total_wht,with_bachelors,year,pct_25_34,pct_college_deg,pct_wht
4269,90291,26992,1386,1668,1271,1955,1096,1137,1078,1628,21176,8950,2011,22.20287492590397,48.97377000592768,78.45287492590397
5193,90292,22152,1391,1054,811,1297,1064,731,626,1075,17418,7447,2011,19.4564824846515,57.06031058143735,78.62946912242687
2487,90501,41290,1394,1814,1643,1581,432,526,741,507,16939,5595,2011,16.14192298377331,19.573746669895858,41.02446112860257
1172,90710,27672,839,799,879,857,558,393,486,557,15455,3184,2011,11.983232148019658,15.741543798785775,55.8506793871061
2364,90731,60467,2518,2155,2233,2399,1957,1474,1431,1745,44170,5540,2011,14.985033158582366,13.071592769609868,73.04810888583856
1963,90732,20300,661,618,439,573,455,476,368,492,16183,3598,2011,11.507389162561577,27.39408866995074,79.7192118226601
1239,91040,20232,816,568,633,624,464,393,508,524,14599,3135,2011,12.776789244760774,21.619217081850532,72.15796757611704
962,91303,26308,1149,1134,1225,1409,410,610,333,696,12680,2169,2011,17.6448228675688,11.9013227915463,48.198266686939334
1947,91306,47235,1961,1656,2003,1812,607,599,859,649,20502,5361,2011,15.403831904308246,15.471578278818674,43.40425531914894
2901,91307,24506,525,403,496,530,305,276,312,362,18893,4890,2011,7.45531706520852,31.792214151636333,77.09540520688812
3542,91311,37504,1108,1187,1065,937,723,680,669,514,25464,6651,2011,12.12404010238908,27.178434300341298,67.89675767918088
3647,91316,26586,1393,1231,1109,1346,876,842,893,1053,21559,6239,2011,18.671481230722936,37.18498457834951,81.09155194463251
2157,91324,26853,870,609,1212,799,479,311,536,382,15033,4213,2011,12.28912970617808,23.721744311622537,55.982571779689415
2526,91325,32497,1006,1078,1493,931,483,613,717,530,19620,5477,2011,14.32439917530849,24.62688863587408,60.374803828045664
2741,91335,75267,2582,2786,3139,3171,1249,1330,1756,1509,41476,8265,2011,15.003919380339326,14.622610174445642,55.10515896740935
2115,91342,87707,3009,2970,2939,2936,1376,1456,1621,1651,48480,6351,2011,13.554220301686296,9.652593293579761,55.274949547926624
2216,91343,59886,2158,2297,2333,2449,900,989,1080,985,27764,6523,2011,15.170490598804395,14.592726179741508,46.36142003139298
4193,91344,53134,1422,1424,1442,1333,940,820,863,817,34959,8226,2011,10.750178793239733,23.372981518425114,65.794030187827
668,91345,18629,577,462,764,642,272,266,345,473,9852,1691,2011,12.158462612056471,12.663052230393474,52.88528638144828
1021,91352,46561,1520,1989,1892,1726,902,1124,992,947,28483,3287,2011,15.871652241146023,9.252378600115977,61.1735143145551
3418,91356,29905,969,1085,963,889,645,783,549,665,23867,6291,2011,13.716769770941314,32.46614278548738,79.809396422003
4007,91364,25087,555,764,809,628,427,581,742,481,20836,5766,2011,11.527882967273886,38.956431617969464,83.05496870889306
5482,91367,39503,1436,1256,1304,1036,556,536,853,634,28662,9377,2011,13.295192770169354,37.61486469382072,72.55651469508645
2451,91401,38600,2068,1703,1925,1406,808,1053,1248,927,24949,4994,2011,19.16839378238342,19.28756476683938,64.63471502590673
976,91402,70676,2547,3340,3450,2808,879,1202,1053,1024,23871,4769,2011,17.936781934461486,8.128643386722509,33.77525609825117
4000,91403,23551,1202,1196,1274,1300,820,799,738,897,18585,6741,2011,20.670035242664856,45.60740520572375,78.91384654579423
1798,91405,53395,1919,2484,2845,2011,769,954,1010,816,23069,4338,2011,18.226425695289823,11.491712707182321,43.20441988950276
2326,91406,52955,2122,2478,2763,2124,989,918,1269,582,26344,5105,2011,18.58370314417902,14.032669247474269,49.747899159663866
4362,91423,30268,1498,1365,1462,1638,1147,1015,1090,1161,23882,8306,2011,18.798731333421433,41.85278181577904,78.90181049292983
3176,91436,14294,203,282,217,239,123,254,139,220,12216,3330,2011,6.884007275780048,45.51560095144816,85.46243178956206
2355,91601,35830,2055,1707,2684,1739,1289,1077,1842,1216,24264,6348,2011,22.75467485347474,24.289701367569076,67.71978788724532
1819,91602,17342,1269,1083,1390,1146,943,704,976,818,13169,5291,2011,27.82262714796448,40.99873140352901,75.93703148425787
4976,91604,27107,1307,1524,1200,1322,1014,1014,1048,1104,22616,7946,2011,20.492861622459145,47.67034345372044,83.43232375401189
1179,91605,54052,2479,1712,2150,2047,945,630,871,840,25620,4087,2011,14.898616147413602,9.742470213868128,47.39880115444387
1580,91606,45897,1924,1691,2215,2163,1003,1084,1111,1192,26557,4859,2011,16.386691940649715,14.029239383837725,57.862169640717255
2808,91607,28346,1393,1214,1822,1268,1149,847,1364,983,22582,6848,2011,19.907570733084032,34.06477104353348,79.66556127848726
2551,94102,24754,1513,746,1632,1593,850,286,878,1030,11002,4623,2011,18.732326088712938,28.981174759634808,44.44534216692252
2324,94103,23361,1258,1121,1384,1438,498,684,803,783,11056,4980,2011,20.90663927057917,31.26578485510038,47.32674114977955
21,94104,286,0,0,0,0,0,0,0,0,179,95,2011,0.0,40.55944055944056,62.58741258741259
1760,94105,4225,349,470,305,698,187,170,156,271,2329,1552,2011,37.72781065088757,78.3905325443787,55.124260355029584
6766,94107,27185,1664,2289,1776,2280,998,1368,1178,1420,16361,8554,2011,29.494206363803567,56.354607320213354,60.183924958616885
1297,94108,13851,791,547,770,522,420,291,425,363,4551,2683,2011,19.16829109811566,28.734387408851347,32.856833441628766
9479,94109,53809,4159,3101,3778,3445,2657,1986,2884,2164,31988,16512,2011,26.276273485848094,48.30232860673865,59.447304354290175
10518,94110,70174,4023,4386,4834,4888,2781,3314,3489,3866,48186,16999,2011,25.121839997719952,39.212528856841566,68.66645766238207
1104,94111,3562,135,200,79,238,67,118,54,193,2083,880,2011,17.237507018528916,55.699045480067376,58.47838293093768
3859,94112,79915,2771,2893,2990,3064,842,1193,1329,1482,28099,11923,2011,14.449102171056749,19.74848276293562,35.16110867797034
9977,94114,32175,1666,1821,1504,1987,1254,1461,1198,1757,26898,10849,2011,21.171717171717173,64.72727272727272,83.5990675990676
7575,94115,32180,2287,1959,2063,1843,1612,1265,1232,1380,19931,9655,2011,25.692977004350524,53.54257302672467,61.93598508390304
5053,94116,43980,1740,1148,1823,916,726,570,838,339,18298,10271,2011,13.321964529331515,34.8431105047749,41.60527512505684
8816,94117,41214,3640,2844,3452,3415,2867,1969,2763,2651,29086,13508,2011,31.008880477507645,54.16606007667297,70.5731062260397
7398,94118,38529,1846,1898,2418,1802,1069,1014,1474,1269,20407,10371,2011,20.919307534584338,46.11850813672818,52.9652988657894
7054,94121,44169,2577,1815,1982,1422,1191,819,1035,657,19398,11399,2011,18.540152595711927,41.778170209875704,43.91767982068872
9440,94122,56859,3372,2790,3176,2604,1696,1524,1665,1481,24117,14227,2011,21.329956559207865,41.62401730596739,42.41544874162402
5647,94123,22350,2706,1900,1635,1656,2355,1536,1485,1573,19128,10046,2011,36.42505592841163,70.21476510067114,85.58389261744966
1217,94124,33558,1208,892,1587,1010,411,332,520,237,7868,2366,2011,13.645032481077537,10.67703677215567,23.445974134334584
4675,94127,19300,366,516,654,549,113,333,209,357,12481,5074,2011,10.632124352331607,50.512953367875646,64.66839378238342
528,94129,2690,271,169,343,261,250,133,243,261,2196,1144,2011,35.39033457249071,62.15613382899628,81.635687732342
118,94130,2300,153,103,331,37,43,31,176,37,1246,424,2011,30.0,23.565217391304348,54.17391304347826
7130,94131,27718,887,1303,1125,1502,567,968,760,1109,18959,7639,2011,16.66065372682012,53.28306515621618,68.39959593044232
3311,94132,30306,1088,1116,940,665,370,375,520,267,12124,5702,2011,14.056622450999804,29.73998548142282,40.0052794826107
3575,94133,27357,2035,971,1416,1633,1316,510,823,943,10868,6559,2011,19.713418869028036,37.04353547538107,39.72657820667471
1155,94134,39032,1152,1219,1424,1474,289,353,441,307,8800,4290,2011,12.845870055339208,13.950092232014757,22.545603607296577
1027,94158,3144,274,148,375,419,90,48,145,171,1218,762,2011,30.05725190839695,56.902035623409674,38.74045801526718
4324,94608,25847,1674,1538,1764,1984,803,475,836,849,9515,5719,2011,25.20215112005262,38.855573180639915,36.81278291484505
5485,94901,40364,1363,1350,1532,1786,552,811,712,1093,28327,7498,2011,13.861361609354873,32.16480031711426,70.17887226241206
586,95838,35604,1489,1102,1595,1071,778,396,645,608,15414,1428,2011,14.852263790585326,5.65666779013594,43.29288843950118
1737,98101,9426,759,451,544,709,581,325,468,386,6928,2687,2011,23.392743475493315,46.93401230638659,73.49883301506472
4048,98102,20983,2654,1365,2267,1850,2311,1088,1672,1583,17324,7700,2011,36.46285087928323,55.98818090835438,82.56207405995329
9519,98103,44639,3754,2655,3558,2575,3109,1948,3143,2139,36785,14427,2011,28.27572302246914,53.643674813503885,82.40551983691391
1049,98104,12191,593,421,859,735,433,219,524,418,5594,2184,2011,18.81716020014765,26.519563612501024,45.886309572635554
6977,98105,44647,1847,897,2086,1151,1296,620,1473,768,32045,6947,2011,12.827289627522564,31.1868658588483,71.7741393598674
1206,98106,22230,1137,1156,1163,998,748,619,768,577,12968,3461,2011,20.746738641475485,20.994152046783626,58.33558254610887
3627,98107,21182,2025,1287,2181,1636,1552,1064,2039,1548,18144,6763,2011,32.00830894155415,49.051081106599945,85.65763384005287
1005,98108,22583,1123,958,780,975,605,410,554,548,7916,3270,2011,16.91095071513971,18.930168710977284,35.05291591019793
4020,98109,20490,2098,1338,2060,1384,1596,1092,1546,1189,16310,7360,2011,33.35285505124451,55.53928745729624,79.5998047828209
6315,98112,21900,1314,1040,1099,884,1151,791,1030,705,18576,6253,2011,20.515981735159816,57.38812785388128,84.82191780821918
10990,98115,45667,2234,1850,2216,2051,1667,1407,1690,1645,37902,12318,2011,17.84658506142291,51.03904351063131,82.99647447828849
3629,98116,22255,861,1036,840,976,711,830,763,810,19609,6320,2011,16.953493596944508,44.70456077286003,88.11053695798698
5403,98117,30042,838,1370,886,1265,706,1147,849,1204,26576,8394,2011,14.859197124026363,45.92570401437987,88.46281872045803
3895,98118,44554,1385,1663,1094,1196,355,717,321,485,13882,5898,2011,13.029133186694796,21.98006912959555,31.15769627867307
4754,98119,21181,1624,928,1275,1057,1233,667,1093,901,17954,5307,2011,22.449364996931212,47.50011803031018,84.76464756149379
2512,98121,11551,952,572,1153,813,639,393,945,596,8092,3374,2011,28.127434854125184,50.956627131850055,70.05454073240412
5069,98122,30956,2583,1433,2432,1734,1894,1207,1767,1352,19782,7110,2011,25.458715596330272,39.34293836412973,63.90360511694018
5365,98125,36581,1576,1670,2189,1876,1045,1145,1219,1339,26031,8011,2011,19.42265110303163,36.5654301413302,71.15989174708182
2481,98126,20078,876,1162,914,969,658,875,599,829,14557,5149,2011,20.49008865424843,38.00179300727164,72.50224125908954
3934,98133,43530,2053,1755,1739,1982,1433,1159,1092,1455,29697,8205,2011,16.774638180565127,27.88651504709396,68.22191592005512
181,98134,872,26,77,15,147,19,20,15,55,483,90,2011,22.362385321100916,31.077981651376145,55.38990825688074
2179,98136,14573,466,743,714,525,359,607,693,464,12833,3923,2011,18.294105537638096,41.87195498524669,88.06011116448225
3851,98144,25487,1008,1281,1335,1076,520,648,746,764,11355,5122,2011,19.24510534782438,35.206183544552125,44.55212461254757
1380,98146,26234,813,866,678,1087,419,399,388,696,16841,2914,2011,12.28558359380956,16.368071967675533,64.19531905161242
214,90001,54480,1872,2151,2791,1996,1384,1666,2084,1476,38027,844,2012,16.455580029368573,1.9419970631424377,69.79992657856094
3311,90004,62884,2658,2641,3181,3092,984,898,972,1004,21535,11003,2012,17.684943705871127,22.76254691177406,34.24559506392723
1358,90007,43653,1976,1202,2355,1469,669,412,772,535,15579,2231,2012,15.428492887086797,8.221657159874464,35.68826884750189
407,90010,3835,255,190,237,201,41,0,20,21,776,1173,2012,22.73794002607562,41.19947848761408,20.234680573663624
1729,90012,29164,1568,864,2274,1728,558,180,853,659,8104,2972,2012,19.098889041283776,16.119188040049377,27.787683445343575
824,90013,9318,303,282,590,581,185,122,352,327,3187,1673,2012,15.636402661515348,26.797596050654647,34.20261858767976
634,90014,5556,402,179,325,299,252,54,221,204,2321,899,2012,19.528437724982002,27.591792656587472,41.774658027357816
802,90015,17668,975,640,821,1131,262,198,385,292,6133,1581,2012,17.41000679194023,13.487661308580485,34.712474530224135
1591,90016,46779,2128,1740,1492,1730,365,397,367,436,10478,3337,2012,15.177750700100473,10.534641612689455,22.39893969516236
968,90017,23171,1309,1223,1462,1492,288,402,355,364,6322,1656,2012,22.515212981744423,11.324500453152647,27.284105131414265
1230,90018,48497,2183,1876,2456,1841,335,356,432,430,8453,3001,2012,17.302101160896548,8.724250984596987,17.429944120254863
4034,90019,64613,2794,2650,2933,2664,1125,975,1158,1112,22968,9706,2012,17.0662250630678,21.26507049664928,35.547026140250416
2543,90020,41086,2212,1649,2440,2277,539,238,579,480,10218,8326,2012,19.34965681740739,26.454266660176216,24.869785328335688
61,90021,2664,60,89,105,159,0,37,96,61,1238,352,2012,12.875375375375375,15.503003003003002,46.47147147147147
251,90023,45663,2122,1794,1758,1808,887,672,638,598,18842,1251,2012,16.354597814423055,3.28931520049055,41.26316711560782
7703,90024,50269,2242,1257,2337,1122,1293,691,1475,796,30322,7979,2012,14.110087728023235,31.196164634267642,60.31948119119139
9060,90025,42932,3361,2787,3593,3068,1902,1537,1895,1670,25535,12385,2012,29.181030466784684,49.95108543743594,59.47777881300661
4141,90026,69615,3532,3820,3407,4369,2404,2755,2168,2930,42983,11241,2012,20.942325648208,22.095812684047978,61.743877037994686
5675,90027,45702,2702,2234,2790,2877,1783,1329,1946,1785,30671,10918,2012,21.79335696468426,36.30694499146646,67.11084854054528
1913,90028,28254,1832,1277,2417,1794,1233,701,1117,1136,16273,6018,2012,24.078006653925108,28.0703617186947,57.59538472428682
1710,90029,39437,1760,1661,2225,2373,827,734,1107,813,16288,4733,2012,18.52828562010295,16.33744960316454,41.301316023024064
818,90031,39990,1590,1249,1505,1788,464,523,561,723,14852,2259,2012,13.98599649912478,7.694423605901475,37.1392848212053
460,90033,49048,1576,1715,2014,1762,874,1145,1075,945,27210,1449,2012,14.312510194095578,3.8921056923829718,55.47626814549014
8359,90034,59305,4709,3779,4770,4516,2511,1956,2765,2490,33857,14172,2012,28.727763257735432,37.99173762751876,57.08962144844448
5009,90035,30553,1582,1590,1316,1604,1157,1208,993,1076,21425,8463,2012,19.89330016692305,44.0938696690996,70.1240467384545
6285,90036,35942,2731,2194,1847,2432,1805,1294,1276,1441,23277,11682,2012,24.94574592398865,49.9888709587669,64.7626731957042
1425,90038,30225,1581,1295,2026,1485,684,559,1003,727,12651,4037,2012,20.50289495450786,18.071133167907362,41.8560794044665
2620,90039,28260,1027,1289,1295,1306,630,831,857,935,17485,6615,2012,17.338995046001415,32.67869780608634,61.87190375088464
2766,90041,28571,935,850,987,935,480,474,532,663,17275,4979,2012,12.677190157852367,27.10790661859928,60.46340695110427
3504,90042,62303,2280,2587,2769,2547,1145,1602,1392,1447,37037,6547,2012,16.408519653949245,16.132449480763366,59.44657560631109
5603,90045,40535,1322,1476,1565,1462,695,796,751,802,25322,7986,2012,14.404835327494759,33.52411496237819,62.469470827679785
6826,90046,49937,3503,2943,3962,3686,2833,2198,2987,2840,40228,16767,2012,26.735686965576626,47.245529367002426,80.55750245309089
1133,90047,47857,1485,1592,1353,1225,150,293,357,385,7288,3402,2012,12.583321144242221,9.476147689993104,15.228702175230374
4388,90048,20793,1426,1260,1269,1153,1173,850,1070,807,17535,6602,2012,25.08055595633146,52.85432597508777,84.33126532967826
9624,90049,36107,2090,1490,1476,1231,1665,1149,1263,982,30698,10958,2012,18.129448583377183,57.00279724153211,85.01952529980336
970,90057,44871,1891,2213,3026,2638,366,377,716,571,10978,3983,2012,20.821911702435873,11.038309821488266,24.46569053508948
5326,90064,25894,1198,983,1135,849,707,662,774,508,18388,6013,2012,16.60230169151155,43.79006719703406,71.01258978914035
3152,90065,45816,1397,1768,1651,1894,562,808,846,927,21773,5759,2012,14.370525580583202,19.449537279552995,47.52269949362668
7962,90066,56107,2618,2907,2858,2577,1572,1502,1834,1621,35611,12088,2012,20.12226638387367,35.7352914966047,63.46979877733616
305,90067,2257,114,46,24,47,94,46,24,47,1955,763,2012,10.190518387239699,47.31945059813912,86.61940629153744
4025,90068,22270,1245,953,1124,1451,871,731,1059,1189,17708,7372,2012,19.196228109564437,51.17647058823529,79.51504265828468
3901,90069,20328,1264,837,1407,1593,941,606,961,1327,17029,7274,2012,21.374458874458874,54.97343565525383,83.7711530893349
0,90071,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,0.0,0.0
2526,90077,8262,113,135,180,116,96,117,145,93,7514,1912,2012,6.814330670539821,53.715807310578555,90.94650205761316
44,90089,3402,55,12,15,6,5,0,2,0,1715,24,2012,2.7630805408583186,1.9988242210464433,50.41152263374485
1526,90094,5567,475,547,310,549,281,186,173,417,2922,1626,2012,33.75246991198132,56.619364109933535,52.487874977546255
4248,90230,32508,1102,1128,855,1357,552,500,373,652,18263,6270,2012,12.959886797096098,32.355112587670725,56.180017226528854
2096,90232,15248,535,720,783,777,293,255,490,467,10411,3324,2012,18.087618048268624,35.54564533053515,68.27780692549842
6538,90272,22893,208,407,292,290,179,364,287,278,20757,5786,2012,5.739745773817324,53.833049403747864,90.66963700694536
4254,90291,26961,1516,1712,1372,1859,1144,1296,1114,1547,21233,8758,2012,23.411594525425613,48.262304810652424,78.75449723674937
5173,90292,22350,1370,1194,1042,1203,1023,771,850,977,17487,7427,2012,21.476510067114095,56.375838926174495,78.24161073825503
2434,90501,42363,1469,1631,1608,1554,434,502,700,475,17597,5965,2012,14.963529495078252,19.826263484644617,41.53860680310649
1388,90710,27486,939,765,869,856,570,439,427,589,16391,2906,2012,12.144364403696427,15.622498726624464,59.63399548861238
2299,90731,59270,2090,1864,2201,2038,1606,1260,1417,1552,43102,5642,2012,13.529610258140712,13.398009110848658,72.72144423823183
1769,90732,19895,524,607,553,639,340,467,480,548,15934,3643,2012,11.515456144759991,27.202814777582308,80.09047499371701
1350,91040,19903,830,435,573,576,460,378,442,446,14887,2891,2012,11.420388886097573,21.308345475556447,74.79776918052555
1118,91303,26613,1049,1198,1211,1538,441,661,420,874,14103,2641,2012,17.495209108330513,14.124675910269415,52.99289820764288
2044,91306,47048,1831,1706,1891,1941,576,657,805,858,21022,5300,2012,15.163237544635265,15.609590205747322,44.68202686617922
3074,91307,24983,479,388,585,517,263,280,386,393,19049,4979,2012,7.3650082055797945,32.23391906496418,76.24784853700515
3660,91311,37945,1161,1130,1079,1042,722,628,628,534,24841,7119,2012,11.85926999604691,28.40690473053103,65.4658057715114
3852,91316,26368,1533,1088,1152,1321,1061,766,934,966,21309,6567,2012,18.435224514563107,39.513804611650485,80.81386529126213
2020,91324,26742,810,704,1159,832,506,347,609,489,15506,4184,2012,12.628075686186524,23.1994615212026,57.98369605863436
2553,91325,33268,1159,1219,1509,912,547,715,707,358,19232,5489,2012,15.348082241192737,24.173379824455935,57.80930624023085
2817,91335,74641,2265,2675,3223,2835,1129,1499,1988,1636,45288,8274,2012,14.520169879824763,14.859125681595906,60.67442826328693
2346,91342,89001,2958,3014,2858,3206,1418,1657,1624,2001,53924,6555,2012,13.307715643644451,10.001011224592983,60.58808327996314
2435,91343,60759,2168,2294,2498,2458,1028,1031,1154,1029,30767,6549,2012,15.23066541582317,14.78628680524696,50.63776559851215
4170,91344,53014,1505,1401,1350,1542,909,775,827,870,34411,8314,2012,10.670766212698531,23.548496623533406,64.90926924963217
790,91345,18654,745,473,728,714,395,278,341,492,10394,1712,2012,12.967728101211536,13.41267288517208,55.71995282513134
988,91352,45494,1585,1861,1791,1688,994,1217,1044,1008,30504,3036,2012,15.602057414164506,8.845122433727525,67.05060007913131
3271,91356,29590,850,1028,914,914,515,739,590,668,23158,6241,2012,12.909766813112538,32.145995268671854,78.26292666441365
3870,91364,25947,562,643,793,533,463,543,675,431,21123,5994,2012,10.178440667514549,38.015955601803675,81.40825528962885
5394,91367,40323,1570,1455,1415,1301,631,672,1014,738,28893,9948,2012,14.619447957741238,38.04776430325125,71.65389479949408
2703,91401,40085,1861,1640,1818,1393,810,1030,1237,941,26329,5315,2012,17.360608706498688,20.002494698765126,65.68292378695273
977,91402,70749,2900,3207,3570,2676,1225,1488,1461,1140,28713,5260,2012,18.21085810400147,8.81567230632235,40.58431921299241
4045,91403,23377,1103,1021,1138,1176,806,757,618,838,18460,6741,2012,18.321427043675406,46.13936775463062,78.96650553963298
1853,91405,54185,1669,2694,2654,2255,652,1023,1118,951,24484,4521,2012,17.921934114607364,11.763403155854942,45.18593706745409
2106,91406,53129,2121,2108,2484,2137,894,916,1130,736,26173,5247,2012,16.602985186997685,13.839899113478516,49.26311430668749
4534,91423,30946,1675,1554,1505,1576,1371,1223,1111,1142,24972,8323,2012,20.3192658178763,41.54656498416597,80.69540489885607
3076,91436,14508,176,266,177,241,107,222,166,213,12423,3316,2012,6.100082712985939,44.058450510063416,85.62861869313481
2578,91601,37090,2309,1762,3042,2130,1624,1029,2153,1392,25480,6977,2012,23.928282555945,25.761660825020222,68.69776220005393
2034,91602,17115,1154,1086,1101,1071,876,712,769,766,13134,5497,2012,25.86619924043237,44.00233713117149,76.73970201577563
