zip_code,dba_name,ownership_name,city,street_address,location,location_start_date,location_end_date
90036,Starbucks Coffee #12900,Starbucks Corporation,Los Angeles,5757 Wilshire Blvd Unit #106,"{'latitude': '34.0625', 'longitude': '-118.3545'}",2010-12-10T00:00:00.000,
91307,Starbucks Coffee Company #20895,Starbucks Corporation,Canoga Park,22815 Victory Blvd #A,"{'latitude': '34.1864', 'longitude': '-118.6236'}",2000-04-08T00:00:00.000,
90049,Starbucks Coffee #508,Starbucks Corporation,Los Angeles,11707 San Vicente Blvd,"{'latitude': '34.0536', 'longitude': '-118.4661'}",1993-08-14T00:00:00.000,
90014,Starbucks Coffee #55102,Starbucks Corporation,Los Angeles,801 S Olive Street,"{'latitude': '34.0451', 'longitude': '-118.2574'}",2018-09-06T00:00:00.000,
91303,Starbucks Coffee #6473,Starbucks Corporation,Canoga Park,7258 Canoga Avenue,"{'latitude': '34.202', 'longitude': '-118.5977'}",2006-06-30T00:00:00.000,
91352,Starbucks Coffee Company # 27293,Starbucks Corporation,Sun Valley,8274   Sunland Blvd,"{'latitude': '34.221', 'longitude': '-118.3671'}",2017-08-24T00:00:00.000,
90064,Starbucks Coffee #5337,Starbucks Corporation,Los Angeles,11280 W Olympic Blvd,"{'latitude': '34.0384', 'longitude': '-118.4407'}",1997-04-17T00:00:00.000,
90049,Starbucks Coffee #659,Starbucks Corp,Los Angeles,11700 San Vicente Blvd,"{'latitude': '34.0535', 'longitude': '-118.4655'}",,
90034,Starbucks Coffee #5250,Starbucks Corporation,Los Angeles,8985 Venice Blvd #Cb 2,"{'latitude': '34.0282', 'longitude': '-118.3904'}",1997-06-19T00:00:00.000,
90018,Starbucks Coffee Company # 49792,Starbucks Corporation,Los Angeles,1789 W Jefferson Blvd,"{'latitude': '34.0258', 'longitude': '-118.3085'}",2017-07-20T00:00:00.000,
90034,Starbucks Coffee #26527,Starbucks Corporation,Los Angeles,3006 S Sepulveda Blvd,"{'latitude': '34.0272', 'longitude': '-118.4285'}",2015-09-24T00:00:00.000,
91403,Starbucks Coffee #548,Starbucks Corporation,Sherman Oaks,14622 Ventura Blvd #116,"{'latitude': '34.1514', 'longitude': '-118.4519'}",1993-06-05T00:00:00.000,
91311,Starbucks Coffee #5341,Starbucks Corporation,Chatsworth,20516 Devonshire Street # B,"{'latitude': '34.2572', 'longitude': '-118.5805'}",1997-04-02T00:00:00.000,
90036,Starbucks Coffee #5373,Starbucks Corporation,Los Angeles,7122 Beverly Blvd,"{'latitude': '34.0761', 'longitude': '-118.3447'}",1997-04-17T00:00:00.000,
90012,,Starbucks,Los Angeles,515 N Grand Avenue #528,"{'latitude': '34.0604', 'longitude': '-118.244'}",,
90036,Starbucks Coffee #5488,Starbucks Corporation,Los Angeles,5020 Wilshire Blvd,"{'latitude': '34.0621', 'longitude': '-118.3393'}",1998-01-30T00:00:00.000,
90064,Starbucks Coffee Co,Starbucks Coffee Company #5394,Los Angeles,11705 National Blvd,"{'latitude': '34.0226', 'longitude': '-118.4388'}",,
91423,Starbucks Coffee #5777,Starbucks Corporation,Van Nuys,13535 Ventura Blvd,"{'latitude': '34.1475', 'longitude': '-118.4283'}",2000-04-01T00:00:00.000,
90025,Starbucks Coffee #5567,Starbucks Corporation,Los Angeles,1898 Westwood Blvd,"{'latitude': '34.0481', 'longitude': '-118.4354'}",1998-05-08T00:00:00.000,
91316,Starbucks Coffee Company # 50834,Starbucks Corporation,Encino,18025   Ventura Blvd,"{'latitude': '34.1651', 'longitude': '-118.5253'}",2019-02-21T00:00:00.000,
90019,Starbucks Coffee #5698,Starbucks Corporation,Los Angeles,1250 S La Brea Avenue,"{'latitude': '34.0515', 'longitude': '-118.3439'}",2010-11-01T00:00:00.000,
90028,,Starbucks,Los Angeles,6801   Hollywood Blvd   #257,"{'latitude': '34.1026', 'longitude': '-118.3395'}",2018-01-01T00:00:00.000,
91324,Starbucks Coffee Company # 29497,Starbucks Corporation,Northridge,19301   Nordhoff Street,"{'latitude': '34.2358', 'longitude': '-118.554'}",2018-12-07T00:00:00.000,
91604,Starbucks Coffee #5447,Starbucks Corporation,N Hollywood,12824 Ventura Blvd,"{'latitude': '34.1448', 'longitude': '-118.4121'}",1997-09-11T00:00:00.000,
90027,Starbucks Coffee Company # 27874,Starbucks Corporation,Los Angeles,2138   Hillhurst Avenue,"{'latitude': '34.1111', 'longitude': '-118.2871'}",2017-08-17T00:00:00.000,
90230,Starbucks Coffee #8608,Starbucks Corporation,Los Angeles,12313 Jefferson Blvd,"{'latitude': '33.9815', 'longitude': '-118.4086'}",2007-09-01T00:00:00.000,
90038,Starbucks Coffee Company # 52258,Starbucks Corporation,Los Angeles,6260   Santa Monica Blvd,"{'latitude': '34.0906', 'longitude': '-118.3258'}",2019-03-01T00:00:00.000,
90007,Starbucks Coffee Company # 52257,Starbucks Corporation,Los Angeles,3026 S Figueroa Street,"{'latitude': '34.0242', 'longitude': '-118.2781'}",2018-07-12T00:00:00.000,
90007,Starbucks Coffee Company # 24005,Starbucks Corporation,Los Angeles,2735 S Figueroa Street,"{'latitude': '34.0269', 'longitude': '-118.2768'}",2015-03-12T00:00:00.000,
90066,Starbucks Coffee #57520,Starbucks Corporation,Los Angeles,3061   Sawtelle Blvd,"{'latitude': '34.0257', 'longitude': '-118.4314'}",2019-05-16T00:00:00.000,
90012,Starbucks #27702,Starbucks Corporation,Los Angeles,232 E 2Nd Street,"{'latitude': '34.0593', 'longitude': '-118.242'}",2016-06-03T00:00:00.000,
90015,Starbucks Coffee Company # 17331,Starbucks Corporation,Los Angeles,600 W 9Th Street,"{'latitude': '34.0451', 'longitude': '-118.2603'}",2012-06-15T00:00:00.000,
90731,Starbucks Coffee #28906,Starbucks Corporation,San Pedro,682 W 9Th Street,"{'latitude': '33.7363', 'longitude': '-118.2919'}",2017-05-25T00:00:00.000,
90066,Starbucks Coffee #22881,Starbucks Corporation,Los Angeles,12746 W Jefferson Blvd,"{'latitude': '33.9775', 'longitude': '-118.4174'}",2014-11-20T00:00:00.000,
90089,Starbucks Coffee Company # 25043,Starbucks Corporation,Los Angeles,3201 S Hoover Street   #1820,"{'latitude': '34.0204', 'longitude': '-118.2861'}",2017-08-10T00:00:00.000,
90021,Starbucks Coffee #26338,Starbucks Corporation,Los Angeles,1401 S Alameda Street,"{'latitude': '34.0253', 'longitude': '-118.2395'}",2016-05-14T00:00:00.000,
91345,Starbucks Coffee Company # 29863,Starbucks Corporation,Mission Hills,11109   Sepulveda Blvd,"{'latitude': '34.2724', 'longitude': '-118.468'}",2017-04-12T00:00:00.000,
90057,Starbucks # 29377,Starbucks Corporation,Los Angeles,534 S Occidental Blvd,"{'latitude': '34.0638', 'longitude': '-118.2842'}",2016-06-03T00:00:00.000,
90035,Starbucks Coffee Company # 28051,Starbucks Corporation,Los Angeles,1742 S La Cienega Blvd,"{'latitude': '34.046', 'longitude': '-118.3761'}",2016-06-03T00:00:00.000,
