business_zip,dba_name,ownership_name,city,full_business_address,neighborhoods_analysis_boundaries,location,location_start_date,location_end_date,lic_code_description
94158,Starbucks Coffee #14311,Starbucks Corporation,San Francisco,1700 Owens St,,"{'type': 'Point', 'coordinates': [-122.393487, 37.767376]}",2008-05-15T00:00:00.000,,Multiple
94129,Starbucks Coffee #14540,Starbucks Corporation,San Francisco,One Letterman Dr Bldg C,,,2008-01-31T00:00:00.000,,
94102,Starbucks Coffee #14393,Starbucks Corporation,San Francisco,462 Powell St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.408561, 37.789174]}",2007-12-12T00:00:00.000,,Multiple
94103,Starbucks Coffee #10891,Starbucks Corporation,San Francisco,865 Market St,South of Market,"{'type': 'Point', 'coordinates': [-122.406929, 37.784904]}",2006-09-28T00:00:00.000,,Multiple
94133,Starbucks Coffee #10892,Starbucks Corporation,San Francisco,499 Bay St,North Beach,"{'type': 'Point', 'coordinates': [-122.414772, 37.805475]}",2006-07-21T00:00:00.000,,Multiple
94103,Starbucks Cofee #10347,Starbucks Corporation,San Francisco,7 Third St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.403428, 37.787454]}",2006-04-28T00:00:00.000,,Multiple
94111,Starbucks Coffee #10251,Starbucks Corporation,San Francisco,295 California St,Financial District/South Beach,"{'type': 'Point', 'coordinates': [-122.400274, 37.79318]}",2005-12-17T00:00:00.000,,Multiple
94123,Starbucks Coffee #10219,Starbucks Corporation,San Francisco,3735 Buchanan St,Marina,"{'type': 'Point', 'coordinates': [-122.433584, 37.804388]}",2005-12-17T00:00:00.000,,Multiple
94111,Starbucks Coffee #9743,Starbucks Corporation,San Francisco,425 Battery St,Chinatown,"{'type': 'Point', 'coordinates': [-122.400387, 37.795252]}",2005-07-02T00:00:00.000,,Multiple
94107,Starbucks Coffee #6677,Starbucks Corporation,San Francisco,280 King St,Mission Bay,"{'type': 'Point', 'coordinates': [-122.393683, 37.776805]}",2004-01-01T00:00:00.000,,Multiple
